"NOME_PROFISSIONAL";"OCUPACAO";"ESTABELECIMENTO_CNPJ"
"RAQUEL LOPES DA CUNDA RUTHES";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS EUCALIPTOS PSF - CNPJ: 13792329000184"
"CRISTIANE TANSINI LEMKE";"MEDICO CLINICO";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"LEIVYS YANELA LEYVA RAMIREZ";"MEDICO GENERALISTA";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"MARCOS TAKIMURA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"MARJORI GOMES MENS WOELLNER ZIGLIA";"MEDICO CLINICO";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"NATALIA CARDOZO DE AZEREDO RIBEIRO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"ORMINDA HILDA DA SILVA";"MEDICO PEDIATRA";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"REGIANE DE CASTRO E SILVA CARRE";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"SCHEILLA MATOS FERREIRA";"MEDICO PSIQUIATRA";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"SONIA CRISTINA LUZ BARROS VENANCIO";"MEDICO PEDIATRA";"UMS FANNY LINDOIA - CNPJ: 13792329000184"
"DAMARIS ESTER DALMAS";"MEDICO PSIQUIATRA";"UMS FAS SOS PSF - CNPJ: 13792329000184"
"ANDRE LUIS MORAES SILVA";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"ARLEM PANONTIM DA NOBREGA";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"CARLOS CESAR CUSMANICH";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"ENEAS CORDEIRO DE SOUZA FILHO";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"GILEADE FABRICIO WALL FAGUNDES";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"HELENA TAKATSUJI JOHNSON";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"HELOISA NOGARA ORZA";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"JOSIANE REGINA TEIXEIRA";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"JOSIANE REGINA TEIXEIRA";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"LIANA ANTONIETA GEHR ALONSO";"MEDICO PEDIATRA";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"MARLY DO ROCIO CAVALLI ZANELLO";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"MARTA ABATEPAULO DE FARIA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"OSWALDO DA SILVA VARGAS JUNIOR";"MEDICO PEDIATRA";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"RITA ELAINE SEIDL";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"VALERIO WIERYSZKO";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"VICTOR FERREIRA DO AMARAL NETO";"MEDICO CLINICO";"UMS FERNANDO DE NORONHA - CNPJ: 13792329000184"
"ANDRESSA KELI CORSATO CHIAMULERA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"CARLOS CESAR CUSMANICH";"MEDICO CLINICO";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"CASSIO HIDEKI HIGA";"MEDICO CLINICO";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"DANIELLE SCANDOLARA";"MEDICO CLINICO";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"EVELLYN DE SOUZA JOSE SABINO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"HELOISA NOGARA ORZA";"MEDICO CLINICO";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"JOSIANE REGINA TEIXEIRA";"MEDICO CLINICO";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"KATIA HARUMI NISHINO";"MEDICO PEDIATRA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"MARTA ABATEPAULO DE FARIA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"PATRICIA BACELAR DE SIQUEIRA BRETAS";"MEDICO PEDIATRA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"ROSICLER HAMILKO JAMBERSI";"MEDICO PEDIATRA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"VALERIO WIERYSZKO";"MEDICO CLINICO";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"VANESSA DE HIROKI FLUMIGNAN BUCHARLES";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"VANESSA DE HIROKI FLUMIGNAN BUCHARLES";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS HIGIENOPOLIS - CNPJ: 13792329000184"
"ALANNA AJZENTAL E CAMARGO";"MEDICO CLINICO";"UMS IPIRANGA - CNPJ: 13792329000184"
"ANA LUCIA VIEIRA ARANTES";"MEDICO CLINICO";"UMS IPIRANGA - CNPJ: 13792329000184"
"CESAR ROGERIO RIBAS ROSSI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"DANIELA MARIANO SANTOS";"MEDICO CLINICO";"UMS IPIRANGA - CNPJ: 13792329000184"
"ELIANE ANDRADE DA ROCHA";"MEDICO PEDIATRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"ELIZABETH JUNG";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"GISELE APARECIDA FREDERICHE VIDOTTO";"MEDICO PEDIATRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"GLAUCIA GONCALVES DE SOUSA BETTEGA";"MEDICO PEDIATRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"HUMBERTO GUSSO JUNIOR";"MEDICO CLINICO";"UMS IPIRANGA - CNPJ: 13792329000184"
"KARLA RENATA NAKAGAWA";"MEDICO PEDIATRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"LAURO VITOR GABRIELLI DOS ANJOS";"MEDICO CLINICO";"UMS IPIRANGA - CNPJ: 13792329000184"
"LAURO VITOR GABRIELLI DOS ANJOS";"MEDICO PEDIATRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"MURILO DOS SANTOS AMBROSIO";"MEDICO CIRURGIAO GERAL";"UMS IPIRANGA - CNPJ: 13792329000184"
"MURILO DOS SANTOS AMBROSIO";"MEDICO CIRURGIAO GERAL";"UMS IPIRANGA - CNPJ: 13792329000184"
"PAULO AMIR CZACZKES";"MEDICO PEDIATRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"PEDRO IVAN MITOSO JUNIOR";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"THIAGO CAMARA BARBOZA";"MEDICO CLINICO";"UMS IPIRANGA - CNPJ: 13792329000184"
"VIVIANE SUALETE DE MELLO";"MEDICO PEDIATRA";"UMS IPIRANGA - CNPJ: 13792329000184"
"ALEXEI VOLACO";"MEDICO CLINICO";"UMS IRACEMA - CNPJ: 13792329000184"
"ANA MARIA PONTES DE SOUZA BATISTA";"MEDICO PEDIATRA";"UMS IRACEMA - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"UMS IRACEMA - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"UMS IRACEMA - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO PEDIATRA";"UMS IRACEMA - CNPJ: 13792329000184"
"CELSO SANTANA DE OLIVEIRA";"MEDICO CLINICO";"UMS IRACEMA - CNPJ: 13792329000184"
"FABIO AKIRA UESU";"MEDICO PSIQUIATRA";"UMS IRACEMA - CNPJ: 13792329000184"
"JOAO GUILHERME FIORANI BORGIO";"MEDICO PSIQUIATRA";"UMS IRACEMA - CNPJ: 13792329000184"
"JUAN FERNANDEZ LIZARAZU";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IRACEMA - CNPJ: 13792329000184"
"LOURDES TEREZINHA PCHEBILSKI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IRACEMA - CNPJ: 13792329000184"
"LUCIANE RAMOS";"MEDICO CLINICO";"UMS IRACEMA - CNPJ: 13792329000184"
"MARCIA DA SILVA OLIVEIRA";"MEDICO CLINICO";"UMS IRACEMA - CNPJ: 13792329000184"
"MARGARETH MEISTER EHLERS";"MEDICO PEDIATRA";"UMS IRACEMA - CNPJ: 13792329000184"
"REGINA HIROMI NAKAMOTO";"MEDICO CLINICO";"UMS IRACEMA - CNPJ: 13792329000184"
"RITA DE CASSIA FREITAS KOWALSKI";"MEDICO PEDIATRA";"UMS IRACEMA - CNPJ: 13792329000184"
"ROBERTO RIBEIRO FONTAO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IRACEMA - CNPJ: 13792329000184"
"CLAUDIA RAITANI RUBIN";"MEDICO PEDIATRA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"DANIEL FERNANDO RUTHES";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"ESTELA MARA LOPES GALVAO ALVES";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"JASMINE VALERIA VIEIRA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"MARISA DE CARVALHO BASTOS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"RICARDO ROSSI CARDOSO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"SILVIO MIRANDA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"SILVIO MIRANDA";"MEDICO GENERALISTA";"UMS IRMA TEREZA ARAUJO PSF - CNPJ: 13792329000184"
"ANA HELENA TROCHIMCZUK OLCHANOWSKA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"BRAULIO AUGUSTO CORREA DE MELO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"CESAR ROGERIO RIBAS ROSSI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"CESAR ROGERIO RIBAS ROSSI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"CLAUDIA WEINGAERTNER PALM";"MEDICO CLINICO";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"CLAUDIO PINTO KUENZER";"MEDICO PEDIATRA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"CLAUDIO PINTO KUENZER";"MEDICO PEDIATRA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"FERNANDO FABIANO CASTELLANO JUNIOR";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"LARISSA TONON MIGUEL";"MEDICO PSIQUIATRA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"MARCELA GONCALVES VENDRAMEL";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"MARCIA DA CONCEICAO VINHAS";"MEDICO CLINICO";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"MARIO LUIS NOGAROLLI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"PRISCILA KOBAYASHI BONATTO JARDIM";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"VANESSA CINI";"MEDICO CLINICO";"UMS JARDIM GABINETO PSF - CNPJ: 13792329000184"
"AIRTO FANTIN FILHO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"ANGELA PISSAIA";"MEDICO CLINICO";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"CLAUDIA RAITANI RUBIN";"MEDICO PEDIATRA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"CRISTINA FIGUEIREDO VARGAS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"EUNICE MATSUMOTO UMATA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"JASMINE VALERIA VIEIRA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"JEANINE BERTOGNA";"MEDICO PEDIATRA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"MARIA CAROLINA KRAUSE CLOSS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"MARIA HELENA ALMEIDA SILVA FERREIRA";"MEDICO CLINICO";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"MILTON CARLOS MALAGHINI";"MEDICO PEDIATRA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"PEDRO IVAN MITOSO JUNIOR";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"RENATA OLIVEIRA LIMA SILVEIRA";"MEDICO PEDIATRA";"UMS JARDIM PARANAENSE PSF - CNPJ: 13792329000184"
"ALBANIR LAIER BORDIGNON";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"ALEXEI VOLACO";"MEDICO CLINICO";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"ANDREA SAYURI YAMAGUCHI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"BRUNA VOLACO GONZALEZ DE CARVALHO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"CAROLINA PASSOS ROCHA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"CLAUDIA WEINGAERTNER PALM";"MEDICO CLINICO";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"GUTEMBERG ARIDE DUARTE";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"IVETE BERKENBROCK";"MEDICO CLINICO";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"MAITE YORDANKA YERO AYALA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"MARCELE PORTELA ANTORIA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"PAULO CESAR ZIMMERMANN FELCHNER";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"VICTOR ANTONIO ALVES DE ABREU";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS JOAO CANDIDO PSF - CNPJ: 13792329000184"
"ALEXEI VOLACO";"MEDICO CLINICO";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"ANA MARIA PONTES DE SOUZA BATISTA";"MEDICO PEDIATRA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"BERNARDO HENRIQUE CORDEIRO SANTOS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"CYNTHIA RAMOS SOARES";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"FABIO AKIRA UESU";"MEDICO PSIQUIATRA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"GILSIMARLE ALVES DE OLIVEIRA SILVA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"JOAO GUILHERME FIORANI BORGIO";"MEDICO PSIQUIATRA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"JORGE LUIS LOZANO SALAZAR";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"JOSENIR FRANCISCO DE SOUZA MEDEIROS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"JULIANA VENTURINI MARIANO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"KARINA ANCIOTO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"LOURDES TEREZINHA PCHEBILSKI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"LUCILEYNE WITTKOWSKI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"SONIA HIDEKO KONDO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS LOTIGUACU PSF - CNPJ: 13792329000184"
"ANA MARIA SANTANA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"ANDREA PAULA CURCIO FADEL";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"ANGELA LEITE MENDES";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"AZARIAS PORTO RIBEIRO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CAMILA AMENT GIULIANI DOS SANTOS FRANCO";"MEDICO CLINICO";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CAMILE SILVELLO PEREIRA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CAROLINA HOBI VOLACO FONSECA";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CLAUDETE TEIXEIRA KRAUSE CLOSS";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CLAUDIA SUELENA CERQUEIRA NICOLAI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CLEVERTON CESAR SPAUTZ";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CRISTIANE MARIA LEAL VARDANA MARANGON";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CRISTIANE MARIA LEAL VARDANA MARANGON";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"CRISTINA ALVES CARDOZO";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"DAMARIS ESTER DALMAS";"MEDICO PSIQUIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"DULCIMARY DIAS BITTENCOURT";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"EDERLEI MUNHOZ PINSUTI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"ELISA JUSTEN BRANDENBURG";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"FLAVIA MACHADO COSTA SOUSA RIBEIRO";"MEDICO PSIQUIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"FRANKLIN ULISES CADENA ROMERO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"IVETE BERKENBROCK";"MEDICO CLINICO";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"JAIME KULAK JUNIOR";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"JAN PAWEL ANDRADE PACHNICKI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"JEANINE BERTOGNA";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"LIGIANA MAFFINI ROMANUS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"LUCI IOLANDA BENDHACK";"MEDICO CLINICO";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"LUCIMARY DE CASTRO SYLVESTRE";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"MARCUS KIITI BORGES";"MEDICO CLINICO";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"MARISE CORDELLINI DA SILVA";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"MILTON CARLOS MALAGHINI";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"PAULO POLI NETO";"MEDICO CLINICO";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"PAULO POLI NETO";"MEDICO GENERALISTA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"PEDRO FIGUEROA NETO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"RAFAEL MENDONCA REY DOS SANTOS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"RAFAEL TEDESCHI PAZELLO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"RENATO PEDRO DE ALMEIDA TORRES";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"ROBERTO ROSENSTEIN JUNIOR";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"ROSA MARIA CHIAMULERA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"ROSILEI MARIA ANTONIEVICZ";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"SILVANA MARGARETH BOZZA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"THAIS BUSSYGUIN";"MEDICO PEDIATRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"WILMA BRUNETTI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MAE CURITIBANA PSF - CNPJ: 13792329000184"
"ANA LUCIA VIEIRA ARANTES";"MEDICO CLINICO";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"DANIELA MARIANO SANTOS";"MEDICO CLINICO";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"GLAUCIA GONCALVES DE SOUSA BETTEGA";"MEDICO PEDIATRA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"GLAUCO AUGUSTO MOECKEL";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"KARLA RENATA NAKAGAWA";"MEDICO PEDIATRA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"LAURO VITOR GABRIELLI DOS ANJOS";"MEDICO PEDIATRA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"LUCIANE WICKERT DA SILVEIRA COSTA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"PAULO AMIR CZACZKES";"MEDICO PEDIATRA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"PEDRO IVAN MITOSO JUNIOR";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"RENAN ANDRE CICATTO BENGHI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
"ROSANE MARA MARCZUK";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS MARIA ANGELICA PSF - CNPJ: 13792329000184"
